WKT,fid,unit_code,unit_name,unit_type,nps_region,scalerank,featurecla,note,name
"POLYGON ((-111.09643555 44.486857096,-111.09643555 45.022827148,-111.15437826 45.051798503,-111.13509115 45.061482747,-111.13024902 45.100097656,-111.08679199 45.100097656,-111.05782064 45.06632487,-111.00952148 45.100097656,-110.9370931 45.06632487,-110.90812174 45.027669271,-110.84049479 45.027669271,-110.82600911 45.051798503,-110.77290853 45.06632487,-110.7101237 45.027669271,-110.07755534 45.027669271,-110.03405762 45.051798503,-110.00028483 45.04695638,-110.00028483 44.974568685,-109.97131348 44.974568685,-109.92785645 44.931111654,-109.94234212 44.853800456,-109.92785645 44.839355469,-109.9568278 44.815226237,-109.88439941 44.737955729,-109.82645671 44.708984375,-109.87955729 44.651041667,-109.92785645 44.631673177,-109.96647135 44.626871745,-110.03405762 44.607503255,-110.06306966 44.607503255,-110.07755534 44.573771159,-110.12101237 44.568929036,-110.17411296 44.544759115,-110.14034017 44.515828451,-110.1451416 44.501302083,-110.12101237 44.472330729,-110.08719889 44.491658529,-110.00028483 44.506144206,-110.00028483 44.462687174,-110.03405762 44.428873698,-110.06306966 44.419230143,-110.07271322 44.399943034,-110.07271322 44.341959635,-110.02925618 44.322672526,-110.00028483 44.322672526,-110.00028483 44.134318034,-111.09643555 44.134318034,-111.09643555 44.486857096))",19,YELL,Yellowstone NP,National Park,Intermountain,3,National Park Service,,Yellowstone
"POLYGON ((-121.26127116 40.42569987,-121.32889811 40.42569987,-121.35302734 40.440185547,-121.3626709 40.411254883,-121.43994141 40.411254883,-121.43994141 40.42569987,-121.50854492 40.42569987,-121.5703125 40.42569987,-121.5703125 40.483723958,-121.56066895 40.512613932,-121.57515462 40.512613932,-121.57515462 40.551269531,-121.50752767 40.565755208,-121.48819987 40.541625977,-121.44474284 40.560953776,-121.37235514 40.560953776,-121.37235514 40.585083008,-121.28544108 40.585083008,-121.27575684 40.541625977,-121.24678548 40.541625977,-121.24926758 40.482747396,-121.2516276 40.42569987,-121.26127116 40.42569987))",20,LAVO,Lassen Volcanic NP,National Park,Pacific West,5,National Park Service,,Lassen Volcanic
"MULTIPOLYGON (((-106.17097982 32.771931966,-106.15645345 32.786417643,-106.13716634 32.771931966,-106.17097982 32.771931966)),((-106.42692057 32.656046549,-106.48002116 32.689860026,-106.48002116 32.868530273,-106.15165202 32.873331706,-106.15165202 32.829874674,-106.17097982 32.829874674,-106.17097982 32.786417643,-106.20479329 32.733317057,-106.23856608 32.709147135,-106.27237956 32.709147135,-106.27237956 32.685017904,-106.34480794 32.680175781,-106.34480794 32.665690104,-106.42692057 32.656046549)))",21,WHSA,White Sands NM,National Monument,Intermountain,5,National Park Service,,White Sands NM
"POLYGON ((-113.0859375 31.963378906,-113.0859375 32.202148438,-112.72859701 32.202148438,-112.72859701 32.158691406,-112.66585286 32.158691406,-112.6706543 32.115234375,-112.6899821 32.100708008,-112.70446777 32.071777344,-112.6899821 32.028320312,-112.65616862 31.999308268,-112.66101074 31.955851237,-112.62719727 31.926839193,-112.60786947 31.897908529,-112.60786947 31.815551758,-112.7339681 31.854532878,-113.0859375 31.963378906))",22,ORPI,Organ Pipe Cactus NM,National Monument,Intermountain,5,National Park Service,,Organ Pipe Cactus NM
"POLYGON ((-105.53352865 37.953328451,-105.53352865 37.953328451,-105.42732747 37.851928711,-105.43697103 37.803670247,-105.45629883 37.793986003,-105.45629883 37.721557617,-105.49007161 37.702229818,-105.51908366 37.702229818,-105.54801432 37.692586263,-105.59635417 37.663614909,-105.71223958 37.663614909,-105.71223958 37.692586263,-105.72672526 37.692586263,-105.72672526 37.80847168,-105.64945475 37.803670247,-105.59635417 37.832600911,-105.58186849 37.851928711,-105.54321289 37.905069987,-105.55289714 37.948527018,-105.53352865 37.953328451))",23,GRSA,Great Sand Dunes NP & PRES,National Park and Preserve,Intermountain,5,National Park Service,,Great Sand Dunes
"POLYGON ((-119.54219564 38.151367188,-119.50354004 38.13680013,-119.49873861 38.15616862,-119.46976725 38.127156576,-119.46008301 38.098225911,-119.42626953 38.117513021,-119.34419759 38.083699544,-119.31038411 38.045084635,-119.30558268 38.011271159,-119.32002767 37.967814128,-119.31038411 37.948527018,-119.26692708 37.929199219,-119.26212565 37.909871419,-119.22831217 37.909871419,-119.19930013 37.885701497,-119.21866862 37.847127279,-119.1944987 37.842244466,-119.21866862 37.818115234,-119.19930013 37.798787435,-119.23795573 37.769856771,-119.26692708 37.740885417,-119.25728353 37.70707194,-119.28625488 37.687744141,-119.32486979 37.634602865,-119.36836751 37.629801432,-119.38769531 37.591145833,-119.38769531 37.552530924,-119.41662598 37.557373047,-119.44559733 37.538045247,-119.57600911 37.533243815,-119.57600911 37.494588216,-119.65804036 37.499430339,-119.67740885 37.538045247,-119.70153809 37.552530924,-119.69669596 37.629801432,-119.72086589 37.629801432,-119.71602376 37.658772786,-119.75948079 37.658772786,-119.75948079 37.687744141,-119.77880859 37.70707194,-119.77880859 37.740885417,-119.85123698 37.740885417,-119.85123698 37.760172526,-119.87536621 37.78914388,-119.87056478 37.80847168,-119.82710775 37.832600911,-119.82710775 37.89058431,-119.88505046 37.89058431,-119.88505046 37.991984049,-119.86572266 38.069254557,-119.83190918 38.093343099,-119.80297852 38.088541667,-119.73535156 38.098225911,-119.69189453 38.131998698,-119.62426758 38.151367188,-119.5904541 38.185139974,-119.57600911 38.15616862,-119.54219564 38.151367188))",24,YOSE,Yosemite NP,National Park,Pacific West,3,National Park Service,,Yosemite
"POLYGON ((-78.438639323 38.436238607,-78.443440755 38.407267253,-78.472412109 38.397542318,-78.501383464 38.358968099,-78.477254232 38.358968099,-78.515869141 38.329996745,-78.540039062 38.334798177,-78.607625326 38.305867513,-78.63663737 38.243082682,-78.680094401 38.233439128,-78.69938151 38.199625651,-78.713867188 38.21891276,-78.733194987 38.204427083,-78.737996419 38.141682943,-78.781453451 38.093343099,-78.824910482 38.098225911,-78.820109049 38.127156576,-78.791137695 38.15616862,-78.815266927 38.165812174,-78.795979818 38.189941406,-78.791137695 38.243082682,-78.723551432 38.310668945,-78.71870931 38.301025391,-78.641438802 38.354125977,-78.597981771 38.392781576,-78.593180339 38.363810221,-78.622111003 38.358968099,-78.631754557 38.32035319,-78.559326172 38.344482422,-78.583496094 38.363810221,-78.569010417 38.378255208,-78.530354818 38.378255208,-78.525553385 38.407267253,-78.55452474 38.416910807,-78.530354818 38.436238607,-78.501383464 38.416910807,-78.482096354 38.455566406,-78.501383464 38.465169271,-78.486897786 38.48453776,-78.530354818 38.494181315,-78.549682617 38.470011393,-78.578653971 38.532796224,-78.520711263 38.508626302,-78.462768555 38.494181315,-78.433797201 38.552083333,-78.409627279 38.566650391,-78.404785156 38.610107422,-78.332397461 38.648681641,-78.361328125 38.658365885,-78.327555339 38.68733724,-78.346883138 38.697021484,-78.375854492 38.677652995,-78.399983724 38.711466471,-78.327555339 38.764607747,-78.356526693 38.774210612,-78.332397461 38.812866211,-78.317871094 38.798380534,-78.26961263 38.803222656,-78.259969076 38.76940918,-78.216471354 38.783935547,-78.192342122 38.808064779,-78.211669922 38.837036133,-78.206827799 38.894938151,-78.192342122 38.904663086,-78.168212891 38.890136719,-78.192342122 38.875651042,-78.197184245 38.85152181,-78.153727214 38.85152181,-78.173014323 38.783935547,-78.153727214 38.75012207,-78.177897135 38.740478516,-78.192342122 38.759765625,-78.255126953 38.745279948,-78.240641276 38.711466471,-78.274414062 38.701822917,-78.250284831 38.648681641,-78.26961263 38.595540365,-78.298583984 38.576253255,-78.284098307 38.537638346,-78.313069661 38.523111979,-78.317871094 38.508626302,-78.356526693 38.537638346,-78.35172526 38.513468424,-78.399983724 38.499023438,-78.419311523 38.479695638,-78.390340169 38.460367839,-78.366170247 38.474853516,-78.356526693 38.450724284,-78.375854492 38.436238607,-78.409627279 38.445882161,-78.428955078 38.470011393,-78.438639323 38.436238607))",25,SHEN,Shenandoah NP,National Park,Northeast,3,National Park Service,,Shenandoah
"POLYGON ((-121.37715658 48.634847005,-121.3240153 48.673461914,-121.25642904 48.687988281,-121.22745768 48.707275391,-121.16951497 48.72660319,-121.08260091 48.741088867,-121.06811523 48.760375977,-121.17919922 48.803833008,-121.16471354 48.818359375,-121.10192871 48.818359375,-121.05847168 48.847330729,-121.12125651 48.905273438,-121.10673014 48.929402669,-121.12463379 48.981079102,-121.11454264 48.992513021,-121.01513672 48.992513021,-121.0053304 48.972900391,-120.98120117 48.963216146,-120.97635905 48.914916992,-120.96187337 48.885945638,-120.99568685 48.866658529,-120.99568685 48.832845052,-121.01501465 48.803833008,-121.0053304 48.770019531,-120.9860026 48.760375977,-120.95703125 48.692830404,-120.96187337 48.683146159,-120.99568685 48.683146159,-121.03914388 48.639689128,-121.03434245 48.615559896,-121.05847168 48.630004883,-121.07779948 48.663818359,-121.12605794 48.683146159,-121.16471354 48.687988281,-121.20332845 48.678304036,-121.2516276 48.639689128,-121.31437174 48.605875651,-121.30957031 48.596191406,-121.37715658 48.576904297,-121.39648438 48.586547852,-121.37715658 48.634847005))",26,ROLA,Ross Lake NRA,National Recreation Area,Pacific West,5,National Park Service,,Ross Lake NRA
"POLYGON ((-105.53352865 40.300170898,-105.56254069 40.295328776,-105.56254069 40.261515299,-105.54321289 40.261515299,-105.54321289 40.189127604,-105.57702637 40.16015625,-105.66394043 40.169799805,-105.69771322 40.16015625,-105.72672526 40.179443359,-105.75085449 40.164957682,-105.77982585 40.174601237,-105.80989583 40.195109049,-105.82820638 40.20694987,-105.82336426 40.226236979,-105.80399577 40.232584635,-105.79915365 40.256713867,-105.84261068 40.256713867,-105.8474528 40.290527344,-105.87158203 40.314656576,-105.86673991 40.372639974,-105.90535482 40.377441406,-105.90055339 40.464355469,-105.85709635 40.488525391,-105.82328288 40.478841146,-105.77018229 40.498168945,-105.73636882 40.546468099,-105.68326823 40.551269531,-105.66394043 40.52718099,-105.6204834 40.541625977,-105.55769857 40.503011068,-105.51908366 40.517456055,-105.51424154 40.435384115,-105.49495443 40.435384115,-105.49495443 40.40641276,-105.52388509 40.387084961,-105.56734212 40.391927083,-105.58186849 40.32434082,-105.54801432 40.32434082,-105.53352865 40.300170898))",27,ROMO,Rocky Mountain NP,National Park,Intermountain,3,National Park Service,,Rocky Mountain
"MULTIPOLYGON (((-121.3343099 48.992513021,-121.11454264 48.992513021,-121.12463379 48.981079102,-121.10673014 48.929402669,-121.12125651 48.905273438,-121.05847168 48.847330729,-121.10192871 48.818359375,-121.16471354 48.818359375,-121.17919922 48.803833008,-121.06811523 48.760375977,-121.08260091 48.741088867,-121.16951497 48.72660319,-121.22745768 48.707275391,-121.25642904 48.687988281,-121.3240153 48.673461914,-121.37715658 48.634847005,-121.40128581 48.678304036,-121.46891276 48.659016927,-121.46407064 48.615559896,-121.48339844 48.630004883,-121.51236979 48.625203451,-121.56547038 48.654174805,-121.56547038 48.687988281,-121.54134115 48.707275391,-121.54134115 48.774902344,-121.5509847 48.789388021,-121.63793945 48.789388021,-121.63309733 48.861816406,-121.52201335 48.861816406,-121.5213623 48.992513021,-121.3343099 48.992513021)),((-121.30957031 48.596191406,-121.31437174 48.605875651,-121.2516276 48.639689128,-121.20332845 48.678304036,-121.16471354 48.687988281,-121.12605794 48.683146159,-121.07779948 48.663818359,-121.05847168 48.630004883,-121.03434245 48.615559896,-121.03914388 48.639689128,-120.99568685 48.683146159,-120.96187337 48.683146159,-120.92325846 48.659016927,-120.92810059 48.625203451,-120.88944499 48.610717773,-120.85563151 48.576904297,-120.82666016 48.56241862,-120.8170166 48.518920898,-120.77355957 48.509277344,-120.74943034 48.485188802,-120.65763346 48.485188802,-120.64318848 48.465820312,-120.66731771 48.451375326,-120.69628906 48.451375326,-120.7590332 48.422363281,-120.84598796 48.388549805,-120.85563151 48.369262695,-120.87980143 48.412719727,-120.90877279 48.388549805,-120.95703125 48.393391927,-120.95703125 48.432047526,-121.03434245 48.432047526,-121.06327311 48.46101888,-121.10673014 48.475504557,-121.1550293 48.475504557,-121.20332845 48.494832357,-121.17919922 48.523763021,-121.24678548 48.528645833,-121.31437174 48.56241862,-121.30957031 48.596191406)))",28,NOCA,North Cascades NP,National Park,Pacific West,3,National Park Service,,North Cascades
"POLYGON ((-121.62345378 46.727416992,-121.63309733 46.737101237,-121.83109538 46.737101237,-121.84558105 46.727416992,-121.91800944 46.737101237,-121.92281087 46.843302409,-121.91800944 46.90612793,-121.91800944 46.997884115,-121.53653971 46.993041992,-121.50272624 46.944742839,-121.49788411 46.910970052,-121.52201335 46.872314453,-121.49788411 46.862670898,-121.47855632 46.819213867,-121.44474284 46.795043945,-121.44958496 46.770914714,-121.51236979 46.746744792,-121.59448242 46.708129883,-121.62345378 46.727416992))",29,MORA,Mount Rainier NP,National Park,Pacific West,3,National Park Service,,Mount Rainier
"POLYGON ((-120.85563151 48.369262695,-120.84598796 48.388549805,-120.7590332 48.422363281,-120.69628906 48.451375326,-120.66731771 48.451375326,-120.64318848 48.407918294,-120.56107585 48.374104818,-120.5900472 48.321004232,-120.56107585 48.316162109,-120.54659017 48.287190755,-120.57560221 48.267862956,-120.59973145 48.272664388,-120.64318848 48.253377279,-120.69628906 48.253377279,-120.69628906 48.287190755,-120.68180339 48.306477865,-120.73010254 48.316162109,-120.73490397 48.345092773,-120.80253092 48.340291341,-120.85563151 48.369262695))",30,LACH,Lake Chelan NRA,National Recreation Area,Pacific West,5,National Park Service,,Lake Chelan NRA
"POLYGON ((-83.620035807 35.698242188,-83.576538086 35.693400065,-83.489624023 35.712727865,-83.479980469 35.727213542,-83.42203776 35.736897786,-83.393066406 35.751342773,-83.296468099 35.765869141,-83.27718099 35.760986328,-83.214396159 35.789998372,-83.146809896 35.789998372,-83.117797852 35.775512695,-83.084025065 35.722412109,-83.09370931 35.698242188,-83.050211589 35.678955078,-83.059895833 35.649943034,-83.040568034 35.635457357,-83.079182943 35.582356771,-83.117797852 35.553385417,-83.161295573 35.548543294,-83.180623372 35.51957194,-83.25785319 35.592000326,-83.306152344 35.558227539,-83.286865234 35.51957194,-83.349609375 35.509887695,-83.431722005 35.456787109,-83.484822591 35.480957031,-83.475179036 35.456787109,-83.489624023 35.432657878,-83.513793945 35.442301432,-83.610351562 35.427815755,-83.644165039 35.442301432,-83.668294271 35.4375,-83.731079102 35.447143555,-83.774536133 35.442301432,-83.798665365 35.456787109,-83.866292318 35.451985677,-83.880777995 35.466430664,-83.919433594 35.471313477,-83.929077148 35.495442708,-83.977376302 35.505086263,-83.998779297 35.546468099,-84.001505534 35.558227539,-83.97253418 35.592000326,-83.938720703 35.611328125,-83.938720703 35.625813802,-83.895263672 35.659627279,-83.842122396 35.674072266,-83.822835286 35.659627279,-83.769734701 35.625813802,-83.750406901 35.649943034,-83.726277669 35.659627279,-83.697265625 35.68375651,-83.629679362 35.698242188,-83.620035807 35.698242188))",31,GRSM,Great Smoky Mountains NP,National Park,Southeast,3,National Park Service,,Great Smoky Mountains
"POLYGON ((-107.80314128 34.983561198,-107.82242839 34.940104167,-107.85144043 34.930460612,-107.87076823 34.877319336,-107.89489746 34.877319336,-107.91902669 34.843505859,-107.90934245 34.809733073,-107.95768229 34.756591797,-107.96732585 34.732462565,-107.9962972 34.708333333,-107.9962972 34.732462565,-108.04459635 34.737304688,-108.04459635 34.814534505,-107.96732585 34.867675781,-108.00594076 34.867675781,-108.04459635 34.887003581,-108.04459635 34.857991536,-108.07352702 34.814534505,-108.12666829 34.814534505,-108.14599609 34.829060872,-108.15079753 34.891845703,-108.09769694 34.901448568,-108.11698405 34.920776367,-108.11698405 34.949788411,-108.14599609 34.973917643,-108.09289551 35.012532552,-108.04939779 35.002888997,-107.9769694 34.959431966,-108.06388346 34.959431966,-108.04459635 34.935302734,-108.04459635 34.90633138,-107.95768229 34.90633138,-107.94799805 34.954589844,-107.89005534 34.959431966,-107.89005534 34.98840332,-107.85624186 35.002888997,-107.8079834 35.002888997,-107.80314128 34.983561198))",32,ELMA,El Malpais NM,National Monument,Intermountain,5,National Park Service,,El Malpais NM
"POLYGON ((-108.53686523 40.440185547,-108.53686523 40.430541992,-108.94759115 40.430541992,-108.94759115 40.440185547,-109.03934733 40.449869792,-109.06831868 40.440185547,-109.09729004 40.478841146,-109.15523275 40.478841146,-109.15523275 40.409749349,-109.22766113 40.404907227,-109.27046712 40.415527344,-109.27148438 40.396077474,-109.2869873 40.401529948,-109.29044596 40.42569987,-109.33870443 40.430541992,-109.33870443 40.493326823,-109.22631836 40.493326823,-109.2035319 40.517456055,-109.17451986 40.517456055,-109.17451986 40.536783854,-109.14558919 40.565755208,-109.07796224 40.565755208,-109.07796224 40.580240885,-109.00553385 40.580240885,-109.00553385 40.60925293,-108.96687826 40.60925293,-108.96687826 40.652709961,-108.94274902 40.652709961,-108.93310547 40.701009115,-108.91377767 40.701009115,-108.90893555 40.744466146,-108.87032064 40.744466146,-108.87516276 40.647867839,-108.85583496 40.647867839,-108.85583496 40.604410807,-108.90413411 40.594726562,-108.90413411 40.536783854,-108.85583496 40.531982422,-108.73990885 40.531982422,-108.72062174 40.503011068,-108.66267904 40.493326823,-108.5419515 40.493326823,-108.5419515 40.469156901,-108.50333659 40.454711914,-108.50333659 40.440185547,-108.53686523 40.440185547))",33,DINO,Dinosaur NM,National Monument,Intermountain,4,National Park Service,,Dinosaur NM
"POLYGON ((-117.0600179 37.016520182,-116.98286947 37.016520182,-116.88146973 37.016520182,-116.88146973 36.912719727,-116.88146973 36.755737305,-116.84285482 36.72672526,-116.6595459 36.588907878,-116.49890137 36.462768555,-116.50480143 36.451578776,-116.51448568 36.417724609,-116.54825846 36.412923177,-116.59171549 36.374267578,-116.61584473 36.345336914,-116.68347168 36.374267578,-116.6883138 36.29703776,-116.6496582 36.29703776,-116.6496582 36.268066406,-116.61584473 36.253580729,-116.61584473 36.239095052,-116.54825846 36.239095052,-116.52893066 36.224609375,-116.52893066 36.195638021,-116.50960286 36.195638021,-116.49031576 36.166666667,-116.38407389 36.166666667,-116.38382975 36.219807943,-116.37333171 36.212320964,-116.36425781 36.211140951,-116.33048503 36.186197917,-116.30777995 36.143798828,-116.30131022 36.107828776,-116.30957031 36.102132161,-116.29597982 36.045491536,-116.28409831 36.03108724,-116.27486165 36.001708984,-116.32617188 35.992838542,-116.34545898 35.973510742,-116.40340169 35.954182943,-116.40340169 35.915527344,-116.41788737 35.86726888,-116.39855957 35.833455404,-116.40340169 35.814127604,-116.35510254 35.814127604,-116.35510254 35.765869141,-116.31648763 35.746541341,-116.29231771 35.635457357,-116.36474609 35.649943034,-116.50276693 35.648763021,-116.62780762 35.647664388,-116.78930664 35.646240234,-116.92492676 35.645141602,-116.92492676 35.707885742,-116.97802734 35.717529297,-116.97322591 35.732055664,-116.93941243 35.732055664,-116.93941243 35.794799805,-117.0287679 35.794799805,-117.11808268 35.794799805,-117.12772624 35.818969727,-117.09875488 35.838256836,-117.09875488 35.881713867,-117.13256836 35.920369466,-117.13741048 35.992838542,-117.09395345 36.012125651,-117.08911133 36.026611328,-117.12772624 36.041097005,-117.12772624 36.103881836,-117.16153971 36.156982422,-117.20019531 36.152140299,-117.27742513 36.205281576,-117.31608073 36.253580729,-117.38366699 36.292195638,-117.41263835 36.326009115,-117.46573893 36.326009115,-117.48990885 36.306681315,-117.53336589 36.311523438,-117.54785156 36.340494792,-117.58166504 36.345336914,-117.6105957 36.369466146,-117.62512207 36.364664714,-117.64444987 36.427408854,-117.60579427 36.446736654,-117.6299235 36.451578776,-117.67338053 36.495035807,-117.68306478 36.523966471,-117.71203613 36.533650716,-117.7409668 36.567423503,-117.76033529 36.620564779,-117.75065104 36.64469401,-117.81827799 36.654378255,-117.84240723 36.683349609,-117.82792155 36.707478841,-117.87137858 36.760579427,-117.90519206 36.84753418,-117.90519206 36.886149089,-117.91967773 36.939249674,-117.98246257 36.958577474,-117.98246257 37.053304036,-117.98246257 37.11311849,-118.00174967 37.11311849,-118.00174967 37.190348307,-117.987264 37.229003906,-117.94864909 37.219319661,-117.88590495 37.229003906,-117.8762207 37.282145182,-117.8762207 37.282145182,-117.8762207 37.296590169,-117.7989502 37.315917969,-117.76033529 37.340047201,-117.70239258 37.330403646,-117.6652832 37.344889323,-117.57617188 37.277913411,-117.38907878 37.13680013,-117.22843424 37.016520182,-117.0600179 37.016520182))",34,DEVA,Death Valley NP,National Park,Pacific West,3,National Park Service,,Death Valley
"MULTIPOLYGON (((-113.34672038 42.820882161,-113.3322347 42.825683594,-113.30326335 42.85953776,-113.34187826 42.844970703,-113.3129069 42.888427734,-113.36600749 42.888427734,-113.34672038 42.907796224,-113.32255046 42.902994792,-113.2742513 42.917439779,-113.29842122 42.931884766,-113.2935791 42.965738932,-113.25980632 42.96089681,-113.25012207 42.931884766,-113.21630859 42.912597656,-113.17285156 42.917439779,-113.17285156 42.902994792,-113.1245931 42.888427734,-113.1245931 42.849853516,-113.14872233 42.840169271,-113.1245931 42.801513672,-113.08113607 42.79671224,-113.0859375 42.782226563,-113.13907878 42.791910807,-113.17285156 42.772583008,-113.19702148 42.714599609,-113.23563639 42.704996745,-113.25496419 42.724283854,-113.28877767 42.709798177,-113.29842122 42.753255208,-113.27909342 42.791910807,-113.30810547 42.77742513,-113.31770833 42.820882161,-113.34672038 42.820882161)),((-113.64611816 43.105753581,-113.69921875 43.158894857,-113.72338867 43.14440918,-113.7668457 43.197550456,-113.75716146 43.216837565,-113.78613281 43.255452474,-113.77164714 43.269938151,-113.73303223 43.352050781,-113.78129069 43.347208659,-113.81510417 43.318277995,-113.80065918 43.303751628,-113.8392334 43.274820964,-113.82958984 43.255452474,-113.80065918 43.260294596,-113.79097493 43.241007487,-113.82474772 43.241007487,-113.82958984 43.211995443,-113.87304688 43.216837565,-113.8972168 43.178181966,-113.95515951 43.178181966,-113.98413086 43.168538411,-113.99861654 43.187866211,-113.9938151 43.216837565,-113.93103027 43.250651042,-113.91170247 43.323079427,-113.83443197 43.327921549,-113.81994629 43.361735026,-113.78613281 43.361735026,-113.74267578 43.385823568,-113.71854655 43.381022135,-113.69921875 43.400349935,-113.66540527 43.385823568,-113.6315918 43.405192057,-113.62194824 43.434122721,-113.63647461 43.458292643,-113.59781901 43.458292643,-113.60266113 43.496907552,-113.54951986 43.496907552,-113.54467773 43.535563151,-113.5012207 43.530721029,-113.47229004 43.559651693,-113.43847656 43.579020182,-113.39982096 43.564493815,-113.43847656 43.559651693,-113.40946452 43.545206706,-113.36116536 43.564493815,-113.33703613 43.535563151,-113.3322347 43.501749674,-113.37084961 43.477579753,-113.30326335 43.458292643,-113.34187826 43.434122721,-113.29842122 43.405192057,-113.3129069 43.381022135,-113.28877767 43.347208659,-113.3129069 43.303751628,-113.28393555 43.279622396,-113.29842122 43.269938151,-113.2742513 43.202351888,-113.29842122 43.168538411,-113.34672038 43.154093424,-113.34672038 43.110636393,-113.38049316 43.081624349,-113.34672038 43.033365885,-113.38537598 43.018839518,-113.43363444 42.989908854,-113.50606283 42.980224609,-113.51574707 42.999511719,-113.61710612 42.965738932,-113.62679036 43.013997396,-113.61582238 43.043625428,-113.56400553 43.038167318,-113.59301758 43.067179362,-113.6315918 43.033365885,-113.67993164 43.04296875,-113.65576172 43.057454427,-113.64611816 43.105753581),(-113.55436198 43.091267904,-113.54467773 43.086466471,-113.48673503 43.120279948,-113.45776367 43.149210612,-113.48673503 43.197550456,-113.45776367 43.22648112,-113.51574707 43.216837565,-113.52539062 43.178181966,-113.54467773 43.158894857,-113.58813477 43.139567057,-113.55436198 43.173380534,-113.55436198 43.202351888,-113.5012207 43.245808919,-113.49641927 43.279622396,-113.5205485 43.30855306,-113.50606283 43.318277995,-113.57849121 43.352050781,-113.60746257 43.332722982,-113.6315918 43.279622396,-113.6702474 43.260294596,-113.70406087 43.255452474,-113.73303223 43.216837565,-113.69437663 43.158894857,-113.6509196 43.134724935,-113.6509196 43.115437826,-113.61710612 43.096110026,-113.61710612 43.076822917,-113.58333333 43.100952148,-113.55436198 43.091267904),(-113.73303223 43.269938151,-113.6895752 43.269938151,-113.64127604 43.294108073,-113.66060384 43.323079427,-113.6895752 43.327921549,-113.74267578 43.284464518,-113.73303223 43.269938151)))",35,CRMO,Craters of the Moon NM & PRES,National Monument and Preserve,Pacific West,4,National Park Service,,Craters of the Moon NM & PRES
"POLYGON ((-121.97672526 42.859090169,-121.97111003 42.844970703,-122.00008138 42.849853516,-122.00008138 42.801513672,-122.07234701 42.80069987,-122.05859375 42.767496745,-122.08028158 42.779622396,-122.08528646 42.801513672,-122.26570638 42.801513672,-122.26570638 42.835367839,-122.28983561 42.85953776,-122.28499349 42.956054688,-122.27534993 42.975382487,-122.30432129 42.975382487,-122.30432129 42.988972982,-122.26570638 43.009195964,-122.26570638 43.067179362,-122.19807943 43.086466471,-122.0049235 43.086466471,-122.00008138 42.985066732,-121.98079427 42.975382487,-121.97111003 42.922281901,-122.00008138 42.893310547,-121.97672526 42.859090169))",36,CRLA,Crater Lake NP,National Park,Pacific West,3,National Park Service,,Crater Lake
"POLYGON ((-110.86466471 37.600830078,-110.89363607 37.600830078,-110.9177653 37.658772786,-110.9370931 37.673258464,-110.9757487 37.673258464,-110.9757487 37.711873372,-111.05297852 37.769856771,-111.04813639 37.793986003,-111.07714844 37.80847168,-111.07714844 37.900227865,-111.09643555 37.900227865,-111.09643555 37.943684896,-111.11572266 37.943684896,-111.11572266 37.982299805,-111.13989258 38.001627604,-111.18819173 38.011271159,-111.18819173 38.151367188,-111.21232096 38.151367188,-111.21232096 38.194824219,-111.25097656 38.209269206,-111.26546224 38.252726237,-111.30411784 38.252726237,-111.30411784 38.291341146,-111.31856283 38.310668945,-111.35721842 38.310668945,-111.35721842 38.397542318,-111.39583333 38.397542318,-111.39583333 38.426554362,-111.42480469 38.426554362,-111.41516113 38.445882161,-111.37650553 38.445882161,-111.37650553 38.474853516,-111.39583333 38.474853516,-111.40067546 38.527994792,-111.30411784 38.532796224,-111.29443359 38.513468424,-111.25097656 38.513468424,-111.25097656 38.470011393,-111.19303385 38.470011393,-111.17370605 38.455566406,-111.17370605 38.426554362,-111.19303385 38.426554362,-111.19303385 38.397542318,-111.15917969 38.383097331,-111.15917969 38.339640299,-111.12060547 38.325195312,-111.12060547 38.286539714,-111.13989258 38.281738281,-111.13989258 38.194824219,-111.12060547 38.194824219,-111.11572266 38.127156576,-111.09643555 38.098225911,-111.11572266 38.088541667,-111.11572266 38.030598958,-111.06266276 38.030598958,-111.06266276 37.987141927,-111.04333496 37.987141927,-111.04333496 37.953328451,-111.02400716 37.934041341,-111.02400716 37.905069987,-111.00467936 37.861612956,-110.96606445 37.842244466,-110.9564209 37.769856771,-110.89766439 37.664388021,-110.86466471 37.615315755,-110.86466471 37.600830078))",37,CARE,Capitol Reef NP,National Park,Intermountain,3,National Park Service,,Capitol Reef
