scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-114.191508, 38.829967)"
Pinus longaeva D.K.Bailey,"c(-118.179574, 37.385567)"
Pinus longaeva D.K.Bailey,"c(-114.291693, 38.832586)"
Pinus longaeva D.K.Bailey,"c(-114.305009, 39.000682)"
Pinus longaeva D.K.Bailey,"c(-113.963225, 38.503345)"
Pinus longaeva D.K.Bailey,"c(-113.95907, 38.489742)"
Pinus longaeva D.K.Bailey,"c(-113.958145, 38.490878)"
Pinus longaeva D.K.Bailey,"c(-113.95807, 38.493512)"
Pinus longaeva D.K.Bailey,"c(-113.960412, 38.493113)"
Pinus longaeva D.K.Bailey,"c(-112.851573, 37.661827)"
Pinus longaeva D.K.Bailey,"c(-114.303194, 38.918927)"
Pinus longaeva D.K.Bailey,"c(-114.586244, 39.232294)"
Pinus longaeva D.K.Bailey,"c(-117.78885, 37.745237)"
Pinus longaeva D.K.Bailey,"c(-112.844353, 37.609528)"
Pinus longaeva D.K.Bailey,"c(-118.199447, 37.528358)"
Pinus longaeva D.K.Bailey,"c(-118.179277, 37.385548)"
Pinus longaeva D.K.Bailey,"c(-118.179495, 37.385608)"
Pinus longaeva D.K.Bailey,"c(-118.178014, 37.386256)"
Pinus longaeva D.K.Bailey,"c(-118.176131, 37.385389)"
Pinus longaeva D.K.Bailey,"c(-118.179272, 37.385428)"
Pinus longaeva D.K.Bailey,"c(-118.166419, 37.38022)"
Pinus longaeva D.K.Bailey,"c(-115.687447, 36.260667)"
Pinus longaeva D.K.Bailey,"c(-118.177278, 37.385386)"
Pinus longaeva D.K.Bailey,"c(-118.180271, 37.385432)"
Pinus longaeva D.K.Bailey,"c(-115.678083, 36.298783)"
Pinus longaeva D.K.Bailey,"c(-115.632055, 36.274598)"
Pinus longaeva D.K.Bailey,"c(-115.631192, 36.274847)"
Pinus longaeva D.K.Bailey,"c(-114.333664, 38.889397)"
Pinus longaeva D.K.Bailey,"c(-114.307364, 38.910144)"
Pinus longaeva D.K.Bailey,"c(-114.307878, 38.910361)"
Pinus longaeva D.K.Bailey,"c(-114.309356, 38.910636)"
Pinus longaeva D.K.Bailey,"c(-114.319628, 38.900172)"
Pinus longaeva D.K.Bailey,"c(-114.321161, 38.901233)"
Pinus longaeva D.K.Bailey,"c(-114.626519, 39.177772)"
Pinus longaeva D.K.Bailey,"c(-114.615439, 39.173806)"
Pinus longaeva D.K.Bailey,"c(-114.606828, 39.151947)"
Pinus longaeva D.K.Bailey,"c(-114.606903, 39.151736)"
Pinus longaeva D.K.Bailey,"c(-118.198013, 37.527247)"
